,song,analysis_url,track_href,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,International,Unknown,electronic,folk,hip hop,house,indie,latino,metal,pop,punk,r&b,rap,rock,global,global_100,global_top,popularity
57,I Don?t Wanna Live Forever (Fifty Shades Darker),https://api.spotify.com/v1/audio-analysis/2y5aJvzXhHPA94U5GFAcXe,https://api.spotify.com/v1/tracks/2y5aJvzXhHPA94U5GFAcXe,spotify:track:2y5aJvzXhHPA94U5GFAcXe,ZAYN,0.0578,0.737,245653,0.452,1.4800000000000002e-05,0,0.187,-8.366,1,0.0534,117.962,0.096,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,80
58,That's What I Like,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,0.013000000000000001,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,0.86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,88
59,Lush Life,https://api.spotify.com/v1/audio-analysis/1rIKgCH4H52lrvDcz50hS8,https://api.spotify.com/v1/tracks/1rIKgCH4H52lrvDcz50hS8,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,0.133,0.6940000000000001,201122,0.7120000000000001,0.0,7,0.21100000000000002,-3.923,0,0.046,98.022,0.799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,False,False,80
60,Cake By The Ocean,https://api.spotify.com/v1/audio-analysis/42ftjU4cTN5UTRksyqBKZJ,https://api.spotify.com/v1/tracks/42ftjU4cTN5UTRksyqBKZJ,spotify:track:42ftjU4cTN5UTRksyqBKZJ,DNCE,0.147,0.7709999999999999,218440,0.76,0.0,4,0.053,-5.459,0,0.0514,119.0,0.8809999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,20
61,"Love Me Like You Do - From ""Fifty Shades Of Grey""",https://api.spotify.com/v1/audio-analysis/1ip2IGDWMrUmlaepEbWlL8,https://api.spotify.com/v1/tracks/1ip2IGDWMrUmlaepEbWlL8,spotify:track:1ip2IGDWMrUmlaepEbWlL8,Ellie Goulding,0.24600000000000002,0.255,250267,0.652,0.0,5,0.11900000000000001,-5.909,0,0.0614,189.63299999999998,0.281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,False,False,63
62,Ride,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,spotify:track:2Z8WuEywRWYTKe1NybPQEW,Twenty One Pilots,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,1,0.0393,74.98899999999998,0.5660000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,83
63,In the Name of Love,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,spotify:track:23L5CiUhw2jV1OIMwthR3S,Martin Garrix,0.109,0.501,195707,0.519,0.0,4,0.45399999999999996,-5.88,0,0.0409,133.99,0.168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,True,False,83
64,Too Good,https://api.spotify.com/v1/audio-analysis/7fJtPlEZKxu6gvkfBFc5tW,https://api.spotify.com/v1/tracks/7fJtPlEZKxu6gvkfBFc5tW,spotify:track:7fJtPlEZKxu6gvkfBFc5tW,Drake,0.0606,0.804,263373,0.65,7.049999999999999e-05,7,0.102,-7.79,1,0.11800000000000001,117.984,0.397,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,False,68
65,Counting Stars,https://api.spotify.com/v1/audio-analysis/1fh2TfUOtOoXEE8qQynYEC,https://api.spotify.com/v1/tracks/1fh2TfUOtOoXEE8qQynYEC,spotify:track:1fh2TfUOtOoXEE8qQynYEC,OneRepublic,0.0649,0.6629999999999999,257280,0.7120000000000001,0.0,1,0.11900000000000001,-4.945,0,0.0381,122.014,0.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,21
66,"i hate u, i love u (feat. olivia o'brien)",https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,spotify:track:7vRriwrloYVaoAe3a9wJHe,gnash,0.687,0.4920000000000001,251034,0.275,0.0,6,0.10099999999999999,-13.4,0,0.3,92.6,0.18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,True,False,84
