,timbre_median_1,timbre_median_2,timbre_median_3,timbre_median_4,timbre_median_5,timbre_median_6,timbre_median_7,timbre_median_8,timbre_median_9,timbre_median_10,timbre_median_11,timbre_median_12
77,52.3705,91.888,31.503999999999998,10.497,34.799,-11.3655,1.2275,1.311,-19.3645,0.843,-18.07,-11.304
78,52.209,46.771,14.778,-4.893000000000001,32.4165,-13.839500000000001,-11.7635,-2.49,-8.269,2.669,-9.807500000000001,-2.505
79,50.4745,17.674,0.47,8.977,23.801000000000002,-14.743,-11.692,-2.2939999999999996,-4.106,-0.064,-12.1815,-7.5625
80,49.8675,40.378,-23.028,-28.494999999999997,17.249000000000002,-24.125999999999998,-9.3395,-3.0255,1.1280000000000001,-0.26849999999999996,-7.9995,1.1095000000000002
81,52.398,16.962,13.072,2.023,-6.889,-24.868,11.405,5.469,-0.833,1.224,-13.254,-7.559
82,51.301,56.491,-3.419,-3.34,26.891,-28.013,-11.898,1.518,-6.947,3.818,-11.3,-6.068
83,53.0775,67.174,11.792,-8.5855,12.768,-28.423499999999997,12.765,0.4165,-15.778500000000001,-1.2365,-7.8919999999999995,4.8965
84,48.636,-6.052,13.312,3.373,42.261,-32.421,1.161,0.332,-9.776,1.629,-10.424,-11.692
85,50.682,40.952,13.38,-8.875,30.429,-27.199,-11.535,1.723,-5.574,2.195,-8.012,-4.358
86,47.549,39.278999999999996,-10.503,-23.156,21.509999999999998,-19.985500000000002,2.1755,2.9265,0.5315000000000001,4.7044999999999995,-13.4575,-2.512
87,50.5855,22.4565,7.3665,-4.273,34.897499999999994,-23.969,-5.3345,-5.4945,-7.379,1.2985,-6.7455,3.1174999999999997
88,49.9105,39.6525,-15.9555,-5.1805,39.0375,-18.758499999999998,-19.7285,1.5605,-13.3735,2.8575,-16.881999999999998,-8.743
89,49.118,36.024,-17.392,-15.367,21.633,-28.036,-4.563,-6.088,-3.592,1.884,-13.287,-8.606
90,52.89,54.653,12.978,-2.157,43.591,-37.637,1.753,1.846,-19.434,3.783,-9.124,-10.155
91,52.097,68.771,3.931,-0.761,17.521,-29.836,1.387,2.485,-3.62,4.951,-11.436,-0.406
92,51.6505,67.13300000000001,1.092,5.6315,16.5855,-22.246499999999997,10.981,0.8335,-10.9235,4.2945,-13.8835,-1.1055000000000001
93,45.099,-2.886,-27.286,-7.059,7.595,-15.022,22.629,-3.262,-16.934,-3.226,-19.77,-7.782
94,49.831,17.488999999999997,12.8355,-10.7125,40.9315,-22.178,2.2990000000000004,-1.2959999999999998,2.2405,-1.6245,-12.546,-3.3425000000000002
95,52.666,40.9985,16.2695,1.9485000000000001,8.857,-14.013,-6.032,-1.3185,-14.912500000000001,-0.15100000000000002,-12.4545,-7.094
96,50.212999999999994,56.167500000000004,-12.696,2.5244999999999997,19.5935,-26.603,-5.5445,2.5199999999999996,-3.128,10.4585,-15.666,-0.9695
97,52.271,51.059,3.317,11.794,15.46,-29.383,-6.073,-2.363,-9.778,-0.788,-7.41,6.263
98,53.527,35.867,-5.341,-10.358,13.602,-25.784,-4.827,6.0,-13.967,-0.755,-10.233,1.121
99,49.339,16.572,-6.465,-14.233,39.345,-24.29,1.555,3.18,-4.157,-2.986,-10.818,-0.498
100,53.5105,70.14099999999999,-5.8285,-5.123,35.926,-31.9535,-14.616,1.1465,-3.9455,7.3435,-10.772,-5.4030000000000005
101,53.813,87.966,37.948,9.009,36.61,-16.231,-0.463,1.998,-9.076,-0.894,-8.924,1.465
102,50.298500000000004,19.98,-23.5365,-3.255,28.703,-18.295499999999997,-5.2219999999999995,-4.669499999999999,-13.1675,5.427,-12.3255,0.9974999999999999
103,50.184,27.916,-2.115,-10.859,7.56,-22.679,10.645,2.946,-9.305,-3.791,-14.088,-10.088
