,Unnamed: 0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,song,artist,genre,sv,cr,de,co,dk,at,pa,es,gb,sk,global,nl,br,cl,ec,lt,us,it,be,lu,gr,mx,uy,ca,jp,sg,tr,cz,lv,pe,ch,se,ar,gt,py,pl,ph,nz,fr,fi,hn,ie,do,no,hu,pt,is,bo,au,hk,tw,my,ee
523,23,0.222,https://api.spotify.com/v1/audio-analysis/1m69ELEgE6k5ZWsap40ozt,0.7390000000000001,188080,0.821,False,9.6e-06,1,0.311,-4.2330000000000005,1,0.0852,171.077,4,https://api.spotify.com/v1/tracks/1m69ELEgE6k5ZWsap40ozt,audio_features,spotify:track:1m69ELEgE6k5ZWsap40ozt,0.693,88,Se Preparó,Ozuna,latino,True,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False
524,24,0.16399999999999998,https://api.spotify.com/v1/audio-analysis/5zSOVwaY3sVjnmLhuEfsuf,0.748,193227,0.565,False,0.0016899999999999999,7,0.10300000000000001,-5.895,1,0.0476,175.92,4,https://api.spotify.com/v1/tracks/5zSOVwaY3sVjnmLhuEfsuf,audio_features,spotify:track:5zSOVwaY3sVjnmLhuEfsuf,0.812,78,Tú Foto,Ozuna,latino,True,True,False,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
525,25,0.03,https://api.spotify.com/v1/audio-analysis/6Za3190Sbw39BBC77WSS1C,0.8140000000000001,232550,0.813,False,9.329999999999999e-05,2,0.255,-3.023,0,0.0561,79.997,4,https://api.spotify.com/v1/tracks/6Za3190Sbw39BBC77WSS1C,audio_features,spotify:track:6Za3190Sbw39BBC77WSS1C,0.8390000000000001,93,Criminal,Natti Natasha,latino,True,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False
526,26,0.222,https://api.spotify.com/v1/audio-analysis/3pXF1nA74528Edde4of9CC,0.765,198293,0.35600000000000004,False,0.0,11,0.0963,-5.556,0,0.196,97.001,4,https://api.spotify.com/v1/tracks/3pXF1nA74528Edde4of9CC,audio_features,spotify:track:3pXF1nA74528Edde4of9CC,0.19,82,Don't,Bryson Tiller,rap,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False,False,True,True,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,True,True,True,False,False
527,27,0.10800000000000001,https://api.spotify.com/v1/audio-analysis/43PuMrRfbyyuz4QpZ3oAwN,0.53,194613,0.433,False,0.0,6,0.135,-10.597999999999999,1,0.185,160.14,4,https://api.spotify.com/v1/tracks/43PuMrRfbyyuz4QpZ3oAwN,audio_features,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,0.27399999999999997,82,Exchange,Bryson Tiller,rap,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
528,28,0.0244,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,0.753,198960,0.45399999999999996,False,5.6200000000000004e-05,7,0.498,-9.488,1,0.0963,77.17,4,https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY,audio_features,spotify:track:2XW4DbS6NddZxRPm5rMCeY,0.344,100,God's Plan,Drake,hip hop,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
529,29,0.047,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,0.643,163870,0.7829999999999999,True,0.0,10,0.083,-6.457999999999999,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.579,96,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,electronic,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True
530,30,0.0481,https://api.spotify.com/v1/audio-analysis/6DOBk1Pxe7q8YFI9Ozbrb3,0.606,191800,0.889,True,3.56e-06,9,0.0933,-4.782,0,0.0519,97.988,4,https://api.spotify.com/v1/tracks/6DOBk1Pxe7q8YFI9Ozbrb3,audio_features,spotify:track:6DOBk1Pxe7q8YFI9Ozbrb3,0.337,71,I Got You,Bebe Rexha,electronic,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True
531,31,0.46799999999999997,https://api.spotify.com/v1/audio-analysis/0eZBeB2xFIS65jQHerispi,0.322,248467,0.28,False,1.1e-06,6,0.102,-9.367,0,0.0281,85.794,4,https://api.spotify.com/v1/tracks/0eZBeB2xFIS65jQHerispi,audio_features,spotify:track:0eZBeB2xFIS65jQHerispi,0.175,72,The Sound Of Silence,Disturbed,metal,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
532,32,0.5660000000000001,https://api.spotify.com/v1/audio-analysis/65NwOZqoXny4JxqAPlfxRF,0.74,220880,0.5579999999999999,False,0.0,8,0.11199999999999999,-8.115,1,0.102,140.05700000000002,4,https://api.spotify.com/v1/tracks/65NwOZqoXny4JxqAPlfxRF,audio_features,spotify:track:65NwOZqoXny4JxqAPlfxRF,0.42100000000000004,94,Psycho (feat. Ty Dolla $ign),Post Malone,rap,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
533,33,0.0808,https://api.spotify.com/v1/audio-analysis/34oB5r0lcN3fYWCs2uA1k5,0.695,211364,0.49700000000000005,True,0.0,8,0.0852,-4.8839999999999995,1,0.0362,99.97200000000001,4,https://api.spotify.com/v1/tracks/34oB5r0lcN3fYWCs2uA1k5,audio_features,spotify:track:34oB5r0lcN3fYWCs2uA1k5,0.537,73,The Cure,Lady Gaga,pop,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
534,34,0.139,https://api.spotify.com/v1/audio-analysis/0WfKDYeUAoLA3vdvLKKWMW,0.846,237200,0.815,False,2.19e-06,4,0.131,-4.512,1,0.0761,118.999,4,https://api.spotify.com/v1/tracks/0WfKDYeUAoLA3vdvLKKWMW,audio_features,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,0.831,69,Poker Face,Lady Gaga,pop,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
535,35,0.00305,https://api.spotify.com/v1/audio-analysis/5P5cGNzqh6A353N3ShDK6Y,0.6970000000000001,294573,0.9209999999999999,False,3.65e-05,0,0.0831,-3.75,1,0.0391,118.99,4,https://api.spotify.com/v1/tracks/5P5cGNzqh6A353N3ShDK6Y,audio_features,spotify:track:5P5cGNzqh6A353N3ShDK6Y,0.721,70,Bad Romance,Lady Gaga,pop,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
536,36,0.43700000000000006,https://api.spotify.com/v1/audio-analysis/7dZ1Odmx9jWIweQSatnRqo,0.665,205280,0.424,True,0.0,0,0.107,-7.837999999999999,1,0.0444,129.911,4,https://api.spotify.com/v1/tracks/7dZ1Odmx9jWIweQSatnRqo,audio_features,spotify:track:7dZ1Odmx9jWIweQSatnRqo,0.134,75,Million Reasons,Lady Gaga,pop,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False
537,37,0.0337,https://api.spotify.com/v1/audio-analysis/6HkjpGIOHv4y0IBAxUbE5z,0.8220000000000001,241933,0.753,False,1.76e-05,1,0.218,-4.499,0,0.0332,118.98200000000001,4,https://api.spotify.com/v1/tracks/6HkjpGIOHv4y0IBAxUbE5z,audio_features,spotify:track:6HkjpGIOHv4y0IBAxUbE5z,0.7090000000000001,65,Just Dance,Lady Gaga,pop,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
538,38,0.0285,https://api.spotify.com/v1/audio-analysis/0Qh38w01QRXK6KHIv0e3hb,0.489,269600,0.588,True,2.11e-06,1,0.0906,-6.1770000000000005,1,0.0507,113.617,4,https://api.spotify.com/v1/tracks/0Qh38w01QRXK6KHIv0e3hb,audio_features,spotify:track:0Qh38w01QRXK6KHIv0e3hb,0.187,82,What About Us,P!nk,r&b,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
539,39,0.0326,https://api.spotify.com/v1/audio-analysis/5NIPsWpDjJTFBoPxCUUeXp,0.445,273600,0.955,False,0.284,8,0.317,-8.027000000000001,1,0.0856,123.34299999999999,4,https://api.spotify.com/v1/tracks/5NIPsWpDjJTFBoPxCUUeXp,audio_features,spotify:track:5NIPsWpDjJTFBoPxCUUeXp,0.336,74,Welcome To The Jungle,Guns N' Roses,rock,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
540,40,0.0214,https://api.spotify.com/v1/audio-analysis/5Q41NLTmGbVPozwHKK7bk2,0.27399999999999997,406307,0.9490000000000001,False,0.00778,11,0.218,-8.642000000000001,1,0.0896,100.346,4,https://api.spotify.com/v1/tracks/5Q41NLTmGbVPozwHKK7bk2,audio_features,spotify:track:5Q41NLTmGbVPozwHKK7bk2,0.49700000000000005,73,Paradise City,Guns N' Roses,rock,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
541,41,0.0746,https://api.spotify.com/v1/audio-analysis/5OMwQFBcte0aWFJFqrr5oj,0.755,199693,0.8320000000000001,False,1.27e-06,2,0.29100000000000004,-2.741,0,0.11599999999999999,120.03200000000001,4,https://api.spotify.com/v1/tracks/5OMwQFBcte0aWFJFqrr5oj,audio_features,spotify:track:5OMwQFBcte0aWFJFqrr5oj,0.735,72,TiK ToK,Kesha,rap,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
542,42,0.22699999999999998,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,0.6920000000000001,216933,0.711,False,0.0,0,0.12,-7.497999999999999,0,0.0317,125.135,4,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,audio_features,spotify:track:1TfqLAPs4K3s2rJMoCokcS,0.875,83,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,rock,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
543,43,0.0198,https://api.spotify.com/v1/audio-analysis/4lnAN2S1fcI0SjxEbksZVr,0.7070000000000001,186113,0.611,True,3.59e-06,2,0.0651,-4.474,1,0.0639,123.006,4,https://api.spotify.com/v1/tracks/4lnAN2S1fcI0SjxEbksZVr,audio_features,spotify:track:4lnAN2S1fcI0SjxEbksZVr,0.285,77,Fetish (feat. Gucci Mane),Selena Gomez,pop,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
544,44,0.0584,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,0.9670000000000001,242733,0.583,False,0.0,7,0.0519,-5.562,0,0.0789,117.0,4,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR,audio_features,spotify:track:0O45fw2L5vsWpdsOdXwNAR,0.9640000000000001,78,SexyBack,Justin Timberlake,r&b,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
545,45,0.004070000000000001,https://api.spotify.com/v1/audio-analysis/5VSCgNlSmTV2Yq5lB40Eaw,0.49700000000000005,239894,0.884,False,0.00032599999999999996,2,0.0968,-4.717,0,0.0436,126.023,4,https://api.spotify.com/v1/tracks/5VSCgNlSmTV2Yq5lB40Eaw,audio_features,spotify:track:5VSCgNlSmTV2Yq5lB40Eaw,0.21600000000000003,65,Love Me Again,John Newman,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
